Date,active_power[W],kWh
2016-01-04 07:30,235.13,0.058782166
2016-01-04 07:45,156.82,0.039203857
2016-01-04 08:00,248.80,0.062200394
2016-01-04 08:15,219.93,0.054982815
2016-01-04 08:30,278.95,0.069736282
2016-01-04 08:45,246.78,0.061694229
2016-01-04 09:00,202.80,0.050700939
2016-01-04 09:15,279.29,0.069821457
2016-01-04 09:30,2379.63,0.594908203
2016-01-04 09:45,282.14,0.070535057
2016-01-04 10:00,236.51,0.059127701
2016-01-04 10:15,157.37,0.039342255
2016-01-04 10:30,143.22,0.035806229
2016-01-04 10:45,119.85,0.029961491
2016-01-04 11:00,277.05,0.069262642
2016-01-04 11:15,251.62,0.062903751
2016-01-04 11:30,244.68,0.061168957
2016-01-04 11:45,98.63,0.02465723
2016-01-04 12:00,132.65,0.033163254
2016-01-04 12:15,128.69,0.032173424
2016-01-04 12:30,247.40,0.061849159
2016-01-04 12:45,212.42,0.053104439
2016-01-04 13:00,131.86,0.032965149
2016-01-04 13:15,123.85,0.03096217
2016-01-04 13:30,366.63,0.091657516
2016-01-04 13:45,612.46,0.153116165
2016-01-04 14:00,212.38,0.053094601
2016-01-04 14:15,203.22,0.050805504
2016-01-04 14:30,96.53,0.024132002
2016-01-04 14:45,137.65,0.034411873
2016-01-04 15:00,276.85,0.069213654
2016-01-04 15:15,213.56,0.053390797
2016-01-04 15:30,237.11,0.059277664
2016-01-04 15:45,231.02,0.057755341
2016-01-04 16:00,242.88,0.060718918
2016-01-04 16:15,301.20,0.075299484
2016-01-04 16:30,2416.39,0.604097839
2016-01-04 16:45,280.43,0.07010685
2016-01-04 17:00,256.18,0.064044273
2016-01-04 17:15,258.57,0.064643562
2016-01-04 17:30,262.01,0.065503571
2016-01-04 17:45,622.32,0.155580109
2016-01-04 18:00,579.62,0.144906006
2016-01-04 18:15,237.71,0.05942868
2016-01-04 18:30,146.54,0.036634026
2016-01-04 18:45,144.74,0.036183884
2016-01-04 19:00,219.70,0.054924904
2016-01-04 19:15,249.04,0.062258759
2016-01-04 19:30,778.90,0.194725906
2016-01-04 19:45,853.41,0.213352814
2016-01-04 20:00,841.32,0.210330292
2016-01-04 20:15,816.53,0.204131348
2016-01-04 20:30,2853.87,0.713467346
2016-01-04 20:45,2764.72,0.69117926
2016-01-04 21:00,883.69,0.220922684
2016-01-04 21:15,976.95,0.24423819
2016-01-04 21:30,988.91,0.247227539
2016-01-04 21:45,744.63,0.186157471
2016-01-04 22:00,756.23,0.189057617
2016-01-04 22:15,852.95,0.213238724
2016-01-04 22:30,772.16,0.193041031
2016-01-04 22:45,255.33,0.063832558
2016-01-04 23:00,168.52,0.042128967
2016-01-04 23:15,201.63,0.050408512
2016-01-04 23:30,179.90,0.044975998
2016-01-04 23:45,474.57,0.118643379
2016-01-05 00:00,319.15,0.079787964
2016-01-05 00:15,299.15,0.074788353
2016-01-05 00:30,151.93,0.037981613
2016-01-05 00:45,138.46,0.034615242
2016-01-05 01:00,221.44,0.055361183
2016-01-05 01:15,215.73,0.053932022
2016-01-05 01:30,137.45,0.034362831
2016-01-05 01:45,174.18,0.043545052
2016-01-05 02:00,171.33,0.042831352
2016-01-05 02:15,251.17,0.062793598
2016-01-05 02:30,245.70,0.061424828
2016-01-05 02:45,171.70,0.042925068
2016-01-05 03:00,140.19,0.035048084
2016-01-05 03:15,139.63,0.034908363
2016-01-05 03:30,218.29,0.054571754
2016-01-05 03:45,275.82,0.068956039
2016-01-05 04:00,137.64,0.034410835
2016-01-05 04:15,170.37,0.042591404
2016-01-05 04:30,173.58,0.043396065
2016-01-05 04:45,254.07,0.063516479
2016-01-05 05:00,245.04,0.061259247
2016-01-05 05:15,174.74,0.043685631
2016-01-05 05:30,136.57,0.03414241
2016-01-05 05:45,136.80,0.034199409
2016-01-05 06:00,214.89,0.053721489
2016-01-05 06:15,213.13,0.053283554
2016-01-05 06:30,154.20,0.038549194
2016-01-05 06:45,187.25,0.04681229
2016-01-05 07:00,186.76,0.046690655
2016-01-05 07:15,415.00,0.103749321
2016-01-05 07:30,429.92,0.107479767
2016-01-05 07:45,340.67,0.085168236
2016-01-05 08:00,297.31,0.074327591
2016-01-05 08:15,316.42,0.079104958
2016-01-05 08:30,405.90,0.101474716
2016-01-05 08:45,405.55,0.101388733
2016-01-05 09:00,324.72,0.081180923
2016-01-05 09:15,3133.34,0.783334839
2016-01-05 09:30,208.77,0.052193199
2016-01-05 09:45,286.45,0.071613647
2016-01-05 10:00,280.84,0.070209892
2016-01-05 10:15,171.13,0.042781532
2016-01-05 10:30,153.26,0.038314346
2016-01-05 10:45,267.88,0.066971191
2016-01-05 11:00,250.94,0.062735863
2016-01-05 11:15,259.40,0.06485112
2016-01-05 11:30,225.49,0.056372646
2016-01-05 11:45,2354.11,0.588526611
2016-01-05 12:00,325.00,0.081250175
2016-01-05 12:15,349.38,0.087343857
2016-01-05 12:30,267.27,0.06681842
2016-01-05 12:45,265.53,0.066382118
2016-01-05 13:00,2238.60,0.559649597
2016-01-05 13:15,262.16,0.065538887
2016-01-05 13:30,312.64,0.078160103
2016-01-05 13:45,185.01,0.046253693
2016-01-05 14:00,191.15,0.047787224
2016-01-05 14:15,231.39,0.057847996
2016-01-05 14:30,322.83,0.080708481
2016-01-05 14:45,304.01,0.076002022
2016-01-05 15:00,231.96,0.057989807
2016-01-05 15:15,311.65,0.077912628
2016-01-05 15:30,270.64,0.06766024
2016-01-05 15:45,398.73,0.099683403
2016-01-05 16:00,493.24,0.123309952
2016-01-05 16:15,2576.83,0.64420813
2016-01-05 16:30,2611.78,0.652944702
2016-01-05 16:45,527.15,0.131788696
2016-01-05 17:00,2555.72,0.638930359
2016-01-05 17:15,1051.56,0.262891174
2016-01-05 17:30,1131.07,0.282768097
2016-01-05 17:45,1114.84,0.278709015
2016-01-05 18:00,3030.05,0.757513062
2016-01-05 18:15,1032.64,0.258160034
2016-01-05 18:30,1109.35,0.277336304
2016-01-05 18:45,3055.10,0.763774292
2016-01-05 19:00,2993.40,0.748349121
2016-01-05 19:15,954.73,0.238682358
2016-01-05 19:30,1045.21,0.261301453
2016-01-05 19:45,1035.84,0.258958862
2016-01-05 20:00,1047.17,0.261793304
2016-01-05 20:15,1161.03,0.290257507
2016-01-05 20:30,408.03,0.102008202
2016-01-05 20:45,519.56,0.129889069
2016-01-05 21:00,2667.34,0.666834595
2016-01-05 21:15,608.74,0.152186142
2016-01-05 21:30,587.41,0.146852798
2016-01-05 21:45,4536.51,1.134126343
2016-01-05 22:00,2709.38,0.677345581
2016-01-05 22:15,769.94,0.192484756
2016-01-05 22:30,435.43,0.108856995
2016-01-05 22:45,418.72,0.104679794
2016-01-05 23:00,492.13,0.123033127
2016-01-05 23:15,511.47,0.127866745
2016-01-05 23:30,494.71,0.12367836
2016-01-05 23:45,377.16,0.094290604
2016-01-06 00:00,341.89,0.08547242
2016-01-06 00:15,422.39,0.105597168
2016-01-06 00:30,490.67,0.122666405
2016-01-06 00:45,483.85,0.12096151
2016-01-06 01:00,372.71,0.093176544
2016-01-06 01:15,406.27,0.101566666
2016-01-06 01:30,346.86,0.086715454
2016-01-06 01:45,238.49,0.059623184
2016-01-06 02:00,141.63,0.035406551
2016-01-06 02:15,134.75,0.03368837
2016-01-06 02:30,127.46,0.031863846
2016-01-06 02:45,252.10,0.063026237
2016-01-06 03:00,250.44,0.062611092
2016-01-06 03:15,168.26,0.04206572
2016-01-06 03:30,169.60,0.042399521
2016-01-06 03:45,170.01,0.042501328
2016-01-06 04:00,216.02,0.054003922
2016-01-06 04:15,213.33,0.053333641
2016-01-06 04:30,139.04,0.034760979
2016-01-06 04:45,135.51,0.033878143
2016-01-06 05:00,168.95,0.0422365
2016-01-06 05:15,249.97,0.062491257
2016-01-06 05:30,162.33,0.040583691
2016-01-06 05:45,170.03,0.042507725
2016-01-06 06:00,170.00,0.042500366
2016-01-06 06:15,134.96,0.033738899
2016-01-06 06:30,180.89,0.045223465
2016-01-06 06:45,152.48,0.038120407
2016-01-06 07:00,172.00,0.04300116
2016-01-06 07:15,154.19,0.038547039
2016-01-06 07:30,275.42,0.068855247
2016-01-06 07:45,428.03,0.107007202
2016-01-06 08:00,351.81,0.087952568
2016-01-06 08:15,322.85,0.080711472
2016-01-06 08:30,324.09,0.081022987
2016-01-06 08:45,384.60,0.096149643
2016-01-06 09:00,3631.36,0.907839355
2016-01-06 09:15,188.85,0.047211487
2016-01-06 09:30,146.48,0.036619804
2016-01-06 09:45,229.70,0.057425705
2016-01-06 10:00,373.65,0.093412048
2016-01-06 10:15,223.43,0.055857529
2016-01-06 10:30,192.08,0.048019901
2016-01-06 10:45,185.61,0.046402325
2016-01-06 11:00,188.49,0.047122005
